file,region,mean_gt,raw_resid_var,ratio_var,ratio_mean,gamma_normalized_var (resid^2/GT^2),poisson_normalized_var (resid^2/GT)
000007.npy,bar,0.9468939403853001,0.04782410580795427,0.06763137315590265,1.0193424500326536,0.06800550352916834,0.05467990786121292
000007.npy,specimen,0.5928166221040957,0.014621561993346927,0.043032451296821525,0.9930135560034477,0.04308126169653848,0.024774060969888583
000934.npy,bar,0.9625037321650107,0.04377614517551505,0.05387299558799841,0.9944954220109675,0.05390329596683575,0.04715705368074843
000934.npy,specimen,0.5888698290628189,0.01364146864017995,15.830971215040494,0.6536186321597728,0.10086939432140718,0.025414677680023215
001106.npy,bar,0.9097089757932006,0.03857132379245687,0.08192070325382966,1.0252707151810299,0.0825593122995904,0.05256759366565657
001106.npy,specimen,0.6003866210932477,0.009925392082088426,0.029981638716672615,0.9958828583101788,0.02999858957236668,0.016920654089015368
003240.npy,bar,0.9162656593884144,0.029396596575394843,13.245418634317144,0.10690750779031985,0.11142369127013137,0.03360209907410041
003240.npy,specimen,0.5946048306433888,0.01291694043889656,0.03845218133554929,0.9912001694018036,0.03852862702895561,0.020249114359498024
003717.npy,bar,0.9628446166607318,0.044260441904276276,0.048817076096967255,1.0021240197864738,0.04882158755702058,0.04574188463841359
003717.npy,specimen,0.5133344635444059,0.015237925772110047,52.88341776551511,0.24334189139849607,0.09649032011394679,0.028754439595420882
003910.npy,bar,0.9350911067347408,0.03173489743819785,13.07991199310335,0.6504553739930161,0.05009350428241095,0.03383722703046378
003910.npy,specimen,0.571536679810669,0.017852249919324083,0.057048148907068504,1.0066180487446403,0.057065205120807906,0.02922038776002566
003915.npy,bar,0.8772201949027236,0.030603107040603622,1.3593203016528044,0.8786000377995004,0.057590162021382216,0.03654102703815212
003915.npy,specimen,0.48918221319576805,0.01654938915598062,0.08605435486997542,1.0221775885646913,0.08654620030452018,0.03538515562519431
003923.npy,bar,0.9113078180348607,0.02830586438504,15.255164774621562,0.6167042066511155,0.057438339820431214,0.03295500044691355
003923.npy,specimen,0.5496590649799108,0.012912717119706771,0.04483528104909566,1.009896747188977,0.04493322665401819,0.022594468896554854
004287.npy,bar,0.7497431597320603,0.023602344259297744,3.358404909573611,0.1656638592778848,0.047252106684914294,0.024794337805466596
004287.npy,specimen,0.46885940574231577,0.007699917614915973,0.03876868815049423,0.991426030651198,0.038229319672390114,0.015304120737596407
004326.npy,bar,0.8453118605918741,0.040145535052963796,1.9470681954727302,0.8633575757086206,0.06430621229699444,0.045531824868955066
004326.npy,specimen,0.5435360896860241,0.021872184804584124,0.10188389323622707,1.039530647211624,0.10344656530519694,0.04407412914647512
