file,global_std,flattest_blocks_mean_var,flattest_blocks_mean_std,min_block_var
001287.npy,0.10409012370825121,0.0020701224020080716,0.0454985978026584,0.0016580307211355298
003039.npy,0.14947352067755254,4.137813355437604e-05,0.006432583738621367,2.5327683161405365e-05
004364.npy,0.22347636707835913,0.0014671661710045783,0.03830360519591568,0.00034001204188155096
002902.npy,0.1116409528908745,0.007550778952457941,0.08689521823701199,0.005762456460677207
001469.npy,0.23196669931501832,0.0006361677184544388,0.025222365441299095,0.00012788274295918913
003887.npy,0.20128882837681486,0.006490498626525643,0.08056363091696925,0.002352074749220376
004058.npy,0.12669199010839755,0.00010152522452869796,0.010075972634376195,5.2429471757640814e-05
000195.npy,0.14192477388426916,0.001701879791429417,0.04125384577744743,0.0013586546227228008
002408.npy,0.10188002968264327,9.594640620227713e-05,0.0097952236422798,7.364816867753607e-05
002439.npy,0.1089695306940165,0.004065814890308165,0.06376374275642989,0.0034095825522882125
004645.npy,0.2263631477332848,0.0021635031872735276,0.04651347318007469,0.00018150162148086388
000359.npy,0.1536169689669678,0.0024121783553813047,0.0491139323958213,0.001564940867512014
000078.npy,0.1847668810594352,0.0027577909535533253,0.052514673697485026,0.0008332121879410453
000837.npy,0.18014953233174152,0.003154228361278832,0.05616251740510598,0.002486464614950886
003104.npy,0.16585160357827589,0.00022688499874239768,0.015062702239053843,2.6803214283606715e-05
